relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
6355,4.618462762431226,12.090718269348145,-0.3902548849582672,-4.795586109161377
6388,,,-3.002328872680664,
6389,3.1216107108631888,9.794678688049316,,-1.7764976024627686
6428,4.743262682826653,6.246472358703613,-2.7724854946136475,1.0055646896362305
6468,2.820534821515651,7.405265808105469,0.7254431247711182,-1.7310078144073486
6507,,,0.5410895943641663,
6508,2.4915948719240735,7.589619159698486,,-1.316810965538025
6547,,,-1.5466543436050415,
6548,2.110569255568281,7.7763671875,,-0.7565677165985107
6587,,,-1.1875240802764893,
6588,1.4059845567888833,8.889671325683594,,0.18914192914962769
6627,,,-2.276885747909546,
6628,2.753843049751306,,,1.2042834758758545
6629,,8.59997272491455,,
6668,2.6676706172645823,10.994174003601074,-0.6584054827690125,1.5394717454910278
6707,,,-0.47884035110473633,
6708,1.2825883063092147,10.558429718017578,,0.181959331035614
6747,,,-0.8068459630012512,
6748,4.086976716029609,11.73398208618164,,2.9903578758239746
6786,,,-2.6599581241607666,
6787,4.256520822566178,,,3.40216064453125
6788,,11.073183059692383,,
6827,9.79104387182989,15.186421394348145,-6.045359134674072,-7.043741226196289
6866,,,-0.6631938815116882,
6867,2.4563686041309745,7.996633529663086,,-2.0207061767578125
6907,4.169247374825024,11.283872604370117,-2.1356279850006104,-4.278438568115234
6946,,,0.9959878921508789,
6947,2.7394509422503512,9.782708168029785,,-0.5961562395095825
6986,2.617960892463169,,-0.18914192914962769,-1.2282254695892334
6987,,7.496245384216309,,
7026,1.351785189413792,,-1.4245500564575195,
7027,,8.367734909057617,,-0.811634361743927
7065,,,-0.10295066982507706,
7066,2.347574902234291,7.575253963470459,,-0.7924807667732239
7105,,,0.23702596127986908,
7106,2.6461435471549266,7.371747016906738,,-0.4572925269603729
7147,2.0324921551279695,,0.35673606395721436,0.023942016065120697
7148,,8.315062522888184,,
7165,2.2229096011830394,8.401253700256348,0.8906430602073669,-0.05267243832349777
7185,2.1966687557382256,9.042900085449219,1.1971008777618408,0.31364041566848755
7205,2.4534844785066796,10.503362655639648,0.8906430602073669,1.170764684677124
7225,3.3192085136159117,11.88002872467041,0.6799532771110535,1.6711528301239014
7244,,,0.8930372595787048,
7245,2.6277626577062847,11.365275382995605,,1.1851298809051514
7264,,,1.1444283723831177,
7265,2.2879896546643463,10.773907661437988,,1.1851298809051514
7284,,,0.7374141216278076,
7285,3.157028857529717,10.96544361114502,,2.564189910888672
7304,3.277058421867024,,-0.011971008032560349,3.002328872680664
7305,,10.673351287841797,,
7324,1.337130097906489,,0.1867477297782898,-0.45489832758903503
7325,,11.099518775939941,,
7344,6.762192628542004,,0.014365210197865963,-6.1315507888793945
